grade strategy,selection,crossover,mutation,x,y,best,mean,std,all params
max,stochastic_universal_sampling,uniform,shuffle_indexes,-2.991880968,3.908634583,63.67015349,59.25382353,10.11908315,"Grade strategy: max, Selection: stochastic_universal_sampling, Crossover: uniform, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,random,one_point,shuffle_indexes,-2.87748449,3.994138852,63.41941899,27.70260655,27.5772645,"Grade strategy: max, Selection: random, Crossover: one_point, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,roulette,one_point,shuffle_indexes,-2.896861411,3.964114941,63.20445452,53.80398565,19.85330462,"Grade strategy: max, Selection: roulette, Crossover: one_point, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,random,uniform,shuffle_indexes,-2.993880797,3.76768714,61.32770281,21.50316408,20.94506665,"Grade strategy: max, Selection: random, Crossover: uniform, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,tournament,one_point,shuffle_indexes,-2.884784972,3.828945878,60.78372925,57.56113844,8.726817163,"Grade strategy: max, Selection: tournament, Crossover: one_point, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,worst,heuristic,shuffle_indexes,-2.909134273,3.799170497,60.64007508,31.96783213,22.89029869,"Grade strategy: max, Selection: worst, Crossover: heuristic, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,best,arithmetic,shuffle_indexes,-2.797037161,3.881221257,60.38166655,8.996645584,15.76326286,"Grade strategy: max, Selection: best, Crossover: arithmetic, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,tournament,uniform,shuffle_indexes,-2.846295424,3.818206574,60.05651102,57.28407819,8.137638033,"Grade strategy: max, Selection: tournament, Crossover: uniform, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,roulette,arithmetic,shuffle_indexes,-2.938332435,3.729487035,59.90219819,41.17561099,14.03833484,"Grade strategy: max, Selection: roulette, Crossover: arithmetic, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,lexicase,one_point,shuffle_indexes,-2.871785482,3.76096237,59.47998163,55.97789076,8.980495657,"Grade strategy: max, Selection: lexicase, Crossover: one_point, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,stochastic_universal_sampling,heuristic,shuffle_indexes,-2.666446596,3.78851838,57.03853984,52.39096506,9.919666246,"Grade strategy: max, Selection: stochastic_universal_sampling, Crossover: heuristic, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,tournament,arithmetic,shuffle_indexes,-2.643547811,3.732514444,55.83692622,54.00062029,6.592540044,"Grade strategy: max, Selection: tournament, Crossover: arithmetic, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,worst,arithmetic,shuffle_indexes,-2.647545452,3.725689056,55.78474024,16.28566983,19.98981171,"Grade strategy: max, Selection: worst, Crossover: arithmetic, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,random,heuristic,shuffle_indexes,-2.323080178,3.918559073,54.23877389,22.2868324,22.21021041,"Grade strategy: max, Selection: random, Crossover: heuristic, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,stochastic_universal_sampling,arithmetic,shuffle_indexes,-2.627605428,3.514458681,52.22759367,47.60876146,9.599116791,"Grade strategy: max, Selection: stochastic_universal_sampling, Crossover: arithmetic, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,roulette,heuristic,shuffle_indexes,-2.981824803,3.194545547,51.81777186,46.87667558,9.882192559,"Grade strategy: max, Selection: roulette, Crossover: heuristic, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,tournament,heuristic,shuffle_indexes,-2.91251201,3.107614115,49.57358857,46.68392803,7.825237735,"Grade strategy: max, Selection: tournament, Crossover: heuristic, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,best,heuristic,shuffle_indexes,-2.881778473,2.932440179,46.50954673,24.98093258,17.16868861,"Grade strategy: max, Selection: best, Crossover: heuristic, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,stochastic_universal_sampling,one_point,flip_bit,-1.417866893,3.910669194,41.90099314,35.49711984,12.48291778,"Grade strategy: max, Selection: stochastic_universal_sampling, Crossover: one_point, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,worst,one_point,flip_bit,-1.467603951,3.858208344,41.89356492,4.365728585,7.956691541,"Grade strategy: max, Selection: worst, Crossover: one_point, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,best,one_point,flip_bit,-1.415083496,3.905843166,41.80534301,4.494965774,7.812123302,"Grade strategy: max, Selection: best, Crossover: one_point, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,lexicase,arithmetic,shuffle_indexes,-1.351772327,3.931935308,41.30746009,39.61667364,5.733735794,"Grade strategy: max, Selection: lexicase, Crossover: arithmetic, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,worst,uniform,flip_bit,-1.380001206,3.888246178,41.13689422,4.104386017,7.61426857,"Grade strategy: max, Selection: worst, Crossover: uniform, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,tournament,one_point,flip_bit,-1.331936896,3.884517006,40.47612941,28.78836671,13.46367722,"Grade strategy: max, Selection: tournament, Crossover: one_point, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,random,uniform,flip_bit,-1.232592141,3.954545189,40.04907622,3.001919252,4.010001332,"Grade strategy: max, Selection: random, Crossover: uniform, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,stochastic_universal_sampling,arithmetic,flip_bit,-1.348812488,3.819036021,39.89952554,32.54014488,13.26373192,"Grade strategy: max, Selection: stochastic_universal_sampling, Crossover: arithmetic, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,worst,arithmetic,flip_bit,-1.465349818,3.675515682,39.61778413,3.753208188,6.789815352,"Grade strategy: max, Selection: worst, Crossover: arithmetic, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,stochastic_universal_sampling,uniform,flip_bit,-1.400711514,3.722102771,39.38083361,32.96524755,12.63866844,"Grade strategy: max, Selection: stochastic_universal_sampling, Crossover: uniform, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,tournament,uniform,flip_bit,-1.161973915,3.945421991,39.04254594,35.57896491,10.1257848,"Grade strategy: max, Selection: tournament, Crossover: uniform, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,random,arithmetic,shuffle_indexes,-1.902504758,3.17392011,38.51416608,3.566979221,2.89759026,"Grade strategy: max, Selection: random, Crossover: arithmetic, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,roulette,arithmetic,flip_bit,-1.488614205,3.558028568,38.47484028,25.28665624,7.646636482,"Grade strategy: max, Selection: roulette, Crossover: arithmetic, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,roulette,one_point,flip_bit,-1.105554664,3.902429181,37.83223855,32.23207929,11.53474956,"Grade strategy: max, Selection: roulette, Crossover: one_point, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,roulette,uniform,flip_bit,-1.319872126,3.637381407,37.38154979,32.13394363,11.3201933,"Grade strategy: max, Selection: roulette, Crossover: uniform, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,random,one_point,flip_bit,-1.395365798,3.548298703,37.238904,3.273940033,3.171004381,"Grade strategy: max, Selection: random, Crossover: one_point, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,roulette,heuristic,flip_bit,-1.310393065,3.561849199,36.38611494,31.47177064,10.6573948,"Grade strategy: max, Selection: roulette, Crossover: heuristic, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,lexicase,heuristic,shuffle_indexes,-1.263605985,3.599685894,36.26741756,34.8667895,5.028408629,"Grade strategy: max, Selection: lexicase, Crossover: heuristic, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,best,uniform,flip_bit,3.930473877,-2.944403647,35.84108433,3.808753963,6.110665986,"Grade strategy: max, Selection: best, Crossover: uniform, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,random,heuristic,flip_bit,-1.034082627,3.803597221,35.82681538,3.62525257,5.624466512,"Grade strategy: max, Selection: random, Crossover: heuristic, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,random,arithmetic,flip_bit,-0.922703132,3.919467145,35.77365841,1.791474995,3.238082539,"Grade strategy: max, Selection: random, Crossover: arithmetic, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,stochastic_universal_sampling,heuristic,flip_bit,-1.316327091,3.45464093,35.21646682,31.00882822,9.678877256,"Grade strategy: max, Selection: stochastic_universal_sampling, Crossover: heuristic, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,lexicase,arithmetic,flip_bit,-1.300306964,3.353182073,33.87440892,30.17477261,9.749175202,"Grade strategy: max, Selection: lexicase, Crossover: arithmetic, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,tournament,arithmetic,flip_bit,-0.693819029,3.974346858,33.62987982,29.03062627,10.69896458,"Grade strategy: max, Selection: tournament, Crossover: arithmetic, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,worst,heuristic,flip_bit,-0.707848053,3.87117398,32.68541825,4.115644387,6.275428745,"Grade strategy: max, Selection: worst, Crossover: heuristic, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,lexicase,uniform,shuffle_indexes,-0.830444339,3.723083581,32.53438175,30.85868347,5.264350939,"Grade strategy: max, Selection: lexicase, Crossover: uniform, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,lexicase,one_point,flip_bit,-0.72914573,3.749194686,31.64348285,28.30411767,8.948420707,"Grade strategy: max, Selection: lexicase, Crossover: one_point, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,lexicase,uniform,flip_bit,3.755675757,-2.727936069,31.44000165,26.86367704,10.43768301,"Grade strategy: max, Selection: lexicase, Crossover: uniform, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,best,arithmetic,flip_bit,-1.189269996,3.167240007,30.59942817,3.205095257,4.337471404,"Grade strategy: max, Selection: best, Crossover: arithmetic, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,best,heuristic,flip_bit,-1.227606915,3.085195361,30.11381849,3.487880587,4.604549957,"Grade strategy: max, Selection: best, Crossover: heuristic, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,lexicase,heuristic,flip_bit,-0.742336356,3.580646759,30.05195871,25.56987156,9.946078344,"Grade strategy: max, Selection: lexicase, Crossover: heuristic, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,tournament,heuristic,flip_bit,3.721820116,-2.214685123,26.12062578,21.62886676,9.467727201,"Grade strategy: max, Selection: tournament, Crossover: heuristic, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
min,lexicase,one_point,shuffle_indexes,-0.155387984,-1.048019972,-1.523444659,-1.123545528,1.126024738,"Grade strategy: min, Selection: lexicase, Crossover: one_point, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
min,stochastic_universal_sampling,one_point,flip_bit,-0.666280591,-2.108272092,-1.55077399,27.43402133,10.34033741,"Grade strategy: min, Selection: stochastic_universal_sampling, Crossover: one_point, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
min,stochastic_universal_sampling,uniform,shuffle_indexes,-0.055766981,-1.462297684,-1.592375129,55.98702341,12.67433767,"Grade strategy: min, Selection: stochastic_universal_sampling, Crossover: uniform, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
min,lexicase,uniform,flip_bit,-0.82855248,-2.0563192,-1.644468518,-1.364643906,0.857306707,"Grade strategy: min, Selection: lexicase, Crossover: uniform, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
min,lexicase,heuristic,flip_bit,-0.441903592,-1.926049357,-1.648322957,-1.337216989,0.848985526,"Grade strategy: min, Selection: lexicase, Crossover: heuristic, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
min,random,uniform,flip_bit,-0.594122918,-1.993302422,-1.660603811,2.647991242,1.831205313,"Grade strategy: min, Selection: random, Crossover: uniform, Mutation: flip_bit, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
min,roulette,arithmetic,gaussian,-0.271902826,-1.130129371,-1.666709488,60279.93787,5131.987739,"Grade strategy: min, Selection: roulette, Crossover: arithmetic, Mutation: gaussian, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
min,lexicase,uniform,shuffle_indexes,-0.690846225,-1.221210965,-1.677804752,-1.482630528,0.613156692,"Grade strategy: min, Selection: lexicase, Crossover: uniform, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
min,tournament,heuristic,shuffle_indexes,-0.14242406,-1.514741883,-1.686234873,-1.137307744,1.646781387,"Grade strategy: min, Selection: tournament, Crossover: heuristic, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
